date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:59	219/219	------	200	untouched ('OK')	text/plain	etag:W/%2263f3ce77-154%22	https://www.classcentral.com/robots.txt		(from )
20:05:59	665068/665068	------	200	untouched ('OK')	text/html	date:Mon,%2020%20Feb%202023%2022:46:53%20GMT	https://www.classcentral.com/	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/index.html	(from )
20:06:00	9463/9463	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2003:21:25%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/My%20Web%20Sites/CentralClassCopy/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
20:06:00	2206/2206	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
20:06:00	975/975	URF---	200	untouched ('OK%20(cached)')	image/png		https://www.classcentral.com/favicon-32x32.png	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
20:06:00	731/731	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
20:06:01	673/673	URF---	200	untouched ('OK%20(cached)')	application/webmanifest		https://www.classcentral.com/site.webmanifest	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
20:06:01	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263f3ce77-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
20:06:01	913/913	UR-MCZ	200	updated ('OK')	text/xml	etag:W/%2263f3cedd-391%22	https://www.classcentral.com/opensearch.xml	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
20:06:01	892/892	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
20:06:02	892/892	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
20:06:02	988/988	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
20:06:02	4464/4464	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
20:06:02	10164/10164	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
20:06:03	12656/12656	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
20:06:03	5360/5360	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
20:06:03	7748/7748	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
20:06:03	6348/6348	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
20:06:04	6840/6840	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:16:17%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
20:06:04	4672/4672	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
20:06:04	12352/12352	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
20:06:04	13324/13324	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
20:06:05	5268/5268	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
20:06:05	7584/7584	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
20:06:05	6320/6320	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
20:06:05	6644/6644	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
20:06:06	4568/4568	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-vietnamese.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
20:06:06	12160/12160	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
20:06:06	13108/13108	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:16:17%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
20:06:06	5224/5224	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
20:06:07	7484/7484	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:16:17%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
20:06:07	6244/6244	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:16:17%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
20:06:07	6696/6696	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
20:06:07	4572/4572	URF---	200	untouched ('OK%20(cached)')	application/woff2		https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-vietnamese.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
20:06:08	12168/12168	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin-ext.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
20:06:08	12976/12976	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:16:17%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin.woff2	C:/My%20Web%20Sites/CentralClassCopy/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
